"","County","Population","Below.HS.Education.Percentage","Unemployment.Rate"
"1","Adams County","27,671",14.8,6.5
"2","Allen County","100,866",7.6,5.9
"3","Ashland County","52,420",9,3.7
"4","Ashtabula County","96,906",12.5,6.9
"5","Athens County","63,218",8.2,5.8
"6","Auglaize County","45,922",6.4,2.5
"7","Belmont County","64,692",8,5.7
"8","Brown County","44,292",12.2,4.3
"9","Butler County","399,542",8.8,4.8
"10","Carroll County","26,460",10.2,3.9
"11","Champaign County","38,907",8.2,5.2
"12","Clark County","134,985",10.7,6.5
"13","Clermont County","214,123",8.1,4.1
"14","Clinton County","42,019",8.4,4.7
"15","Columbiana County","99,823",10.3,4.8
"16","Coshocton County","37,003",15,5.3
"17","Crawford County","41,626",9.5,5.6
"18","Cuyahoga County","1,240,594",8.8,6.9
"19","Darke County","51,462",9.3,2.7
"20","Defiance County","38,644",7.7,4
"21","Delaware County","237,966",2.9,3
"22","Erie County","73,841",7.6,6.1
"23","Fairfield County","167,762",6,3.6
"24","Fayette County","28,782",14.2,4.3
"25","Franklin County","1,356,303",8.8,4.5
"26","Fulton County","42,028",5.2,3.6
"27","Gallia County","28,886",13.1,3.6
"28","Geauga County","95,362",8.8,3
"29","Greene County","172,347",5.5,4
"30","Guernsey County","38,219",14.3,5
"31","Hamilton County","837,359",7.5,5
"32","Hancock County","75,016",5.1,3.3
"33","Hardin County","30,402",8.3,4.1
"34","Harrison County","14,042",10.2,4.5
"35","Henry County","27,536",7.4,3.6
"36","Highland County","43,785",13.1,4
"37","Hocking County","27,429",11.9,4.9
"38","Holmes County","44,668",42.9,2
"39","Huron County","58,168",9.3,4.1
"40","Jackson County","32,723",12.5,4.1
"41","Jefferson County","63,900",7.1,5
"42","Knox County","63,848",8.9,2.5
"43","Lake County","232,360",6.1,4.3
"44","Lawrence County","55,829",10,3
"45","Licking County","184,898",6.9,3.2
"46","Logan County","46,085",7.1,3.6
"47","Lorain County","322,030",8.5,4.4
"48","Lucas County","426,291",9,6.8
"49","Madison County","45,531",11.1,4
"50","Mahoning County","225,786",8.4,6.4
"51","Marion County","64,976",10.9,6
"52","Medina County","184,625",5.5,3
"53","Meigs County","21,491",13.3,6.1
"54","Mercer County","42,648",5.3,1.8
"55","Miami County","111,950",7.2,3.6
"56","Monroe County","13,051",10,6
"57","Montgomery County","537,443",7.9,5.8
"58","Morgan County","13,532",11.5,3
"59","Morrow County","35,927",8.6,3
"60","Muskingum County","86,582",9.7,4.6
"61","Noble County","14,269",14.7,2.9
"62","Ottawa County","39,692",5.9,2.9
"63","Paulding County","18,755",9.6,3.9
"64","Perry County","35,682",11.7,4
"65","Pickaway County","62,158",11.6,4.2
"66","Pike County","27,065",14.4,5.4
"67","Portage County","163,839",7.1,5.3
"68","Preble County","40,801",7.4,3.5
"69","Putnam County","34,206",5.3,2.1
"70","Richland County","124,853",10.5,4.8
"71","Ross County","76,046",11.1,4.5
"72","Sandusky County","58,866",6.7,3.9
"73","Scioto County","71,798",11.3,6.6
"74","Seneca County","54,730",6.8,3.9
"75","Shelby County","47,952",8.6,4.6
"76","Stark County","374,091",7.2,3.9
"77","Summit County","538,370",7.1,5.2
"78","Trumbull County","200,300",10,4.5
"79","Tuscarawas County","92,048",11.1,5.3
"80","Union County","71,721",4.8,2.4
"81","Van Wert County","28,887",6.4,3.7
"82","Vinton County","12,545",16.9,3.6
"83","Warren County","256,059",5,3.1
"84","Washington County","58,332",7.1,4.6
"85","Wayne County","116,632",13.7,3.3
"86","Williams County","36,554",8.6,3.5
"87","Wood County","133,077",4.8,4.6
"88","Wyandot County","21,394",5.2,2.5
