county_of_birth,lbw_rate,birth_count,mean_mother_age,population,below_hs_pct,unemployment_rate,lbw_rate_pct
Adams County,1.0,16,32.6875,,14.8,6.5,100.0
Allen County,0.7571,10259,27.6603,,7.6,5.9,75.71
Ashland County,0.9584,6924,26.7334,,9.0,3.7,95.84
Ashtabula County,0.9459,6390,24.8746,,12.5,6.9,94.59
Athens County,0.9575,10389,26.568,,8.2,5.8,95.75
Auglaize County,0.9776,4689,27.4291,,6.4,2.5,97.76
Belmont County,0.949,3216,25.7127,,8.0,5.7,94.89999999999999
Brown County,0.9626,2245,24.1207,,12.2,4.3,96.26
Butler County,0.8457,19489,28.5462,,8.8,4.8,84.57000000000001
Carroll County,1.0,58,28.7069,,10.2,3.9,100.0
Champaign County,1.0,31,31.3548,,8.2,5.2,100.0
Clark County,0.8822,13101,26.9933,,10.7,6.5,88.22
Clermont County,1.0,232,30.3966,,8.1,4.1,100.0
Clinton County,0.9476,8590,25.5476,,8.4,4.7,94.76
Columbiana County,0.958,8353,25.7675,,10.3,4.8,95.8
Coshocton County,0.9762,4490,26.6363,,15.0,5.3,97.61999999999999
Crawford County,0.9524,5859,25.9993,,9.5,5.6,95.24000000000001
Cuyahoga County,0.4689,55424,29.0805,,8.8,6.9,46.89
Darke County,0.9669,4985,25.7633,,9.3,2.7,96.69
Defiance County,0.9657,10158,26.3362,,7.7,4.0,96.57
Delaware County,0.965,5568,26.7974,,2.9,3.0,96.5
Erie County,0.9497,11405,27.2831,,7.6,6.1,94.97
Fairfield County,0.9279,9828,27.3557,,6.0,3.6,92.78999999999999
Fayette County,0.9588,1455,24.4852,,14.2,4.3,95.88
Franklin County,0.5416,49691,29.0489,,8.8,4.5,54.16
Fulton County,0.9681,4045,26.5721,,5.2,3.6,96.81
Gallia County,0.9421,9939,25.2819,,13.1,3.6,94.21000000000001
Geauga County,0.9134,8727,29.8264,,8.8,3.0,91.34
Greene County,0.9621,13020,27.739,,5.5,4.0,96.21
Guernsey County,0.9537,7367,25.698,,14.3,5.0,95.37
Hamilton County,0.4734,46168,29.1702,,7.5,5.0,47.339999999999996
Hancock County,0.9004,11863,26.9422,,5.1,3.3,90.03999999999999
Hardin County,1.0,558,29.9104,,8.3,4.1,100.0
Henry County,0.9738,2329,26.6844,,7.4,3.6,97.38
Highland County,0.9484,5099,25.3809,,13.1,4.0,94.84
Hocking County,0.9927,689,24.8491,,11.9,4.9,99.27
Holmes County,0.975,10049,27.9886,,42.9,2.0,97.5
Huron County,0.958,10212,26.4581,,9.3,4.1,95.8
Jackson County,1.0,167,28.4611,,12.5,4.1,100.0
Jefferson County,0.9557,6753,26.0567,,7.1,5.0,95.57
Knox County,0.9561,7082,26.0945,,8.9,2.5,95.61
Lake County,0.8737,11126,28.2034,,6.1,4.3,87.37
Licking County,0.9237,11657,26.9401,,6.9,3.2,92.36999999999999
Logan County,0.9585,6239,25.8556,,7.1,3.6,95.85000000000001
Lorain County,0.8869,14720,27.1317,,8.5,4.4,88.69
Lucas County,0.5515,27298,28.3793,,9.0,6.8,55.15
Madison County,0.9592,3679,25.7029,,11.1,4.0,95.92
Mahoning County,0.7333,18207,26.9448,,8.4,6.4,73.33
Marion County,0.9287,15143,25.5021,,10.9,6.0,92.86999999999999
Medina County,0.9691,11839,28.3904,,5.5,3.0,96.91
Meigs County,1.0,23,29.6957,,13.3,6.1,100.0
Mercer County,0.9798,5398,27.5917,,5.3,1.8,97.98
Miami County,0.9424,11281,26.46,,7.2,3.6,94.24
Monroe County,1.0,100,25.74,,10.0,6.0,100.0
Montgomery County,0.5086,32440,29.1822,,7.9,5.8,50.86000000000001
Morgan County,1.0,163,26.8528,,11.5,3.0,100.0
Morrow County,1.0,380,29.1237,,8.6,3.0,100.0
Muskingum County,0.8052,7767,29.2442,,9.7,4.6,80.52
